FileName;IBS;CFS;CFS without Floor and Walls;VCIS;NCIS;TotalElementsCount;Error;PipelineDurationSeconds;Module1_Name;Module1_Duration_s;Module1_PromptTokens;Module1_CompletionTokens;Module1_TotalTokens;Module2_Name;Module2_Duration_s;Module2_PromptTokens;Module2_CompletionTokens;Module2_TotalTokens;Module3_Name;Module3_Duration_s;Module3_PromptTokens;Module3_CompletionTokens;Module3_TotalTokens;Module4_Name;Module4_Duration_s;Module4_PromptTokens;Module4_CompletionTokens;Module4_TotalTokens;Module5_Name;Module5_Duration_s;Module5_PromptTokens;Module5_CompletionTokens;Module5_TotalTokens
output_classroom_easy_withValidator_o3_2025-05-17_16-14-35;75;87,5;86,20689;99,47849;96,94376;64;;1453,074;master_planner;5,449;1157;319;1476;game_objects_size_module;44,903;731;4773;5504;relation_module;76,185;1713;9868;11581;object_placement_module;195,017;19125;11454;30579;wall_validator_module;87,885;8718;8493;17211;collision_validator_module;150,377;8660;14647;23307;realign_module;232,780;9975;23033;33008;wall_validator_module;21,292;8954;1903;10857;collision_validator_module;217,803;8896;22997;31893;realign_module;162,680;9046;16219;25265;json_converter;146,378;11334;12376;23710
output_classroom_easy_withValidator_o3_2025-05-17_16-18-12;61,81818;74,54546;100;96,96117;99,25791;55;;1668,421;master_planner;6,226;1157;355;1512;game_objects_size_module;69,312;659;8297;8956;relation_module;80,115;1395;7936;9331;object_placement_module;125,815;18021;12514;30535;wall_validator_module;75,696;8936;7143;16079;collision_validator_module;173,672;8878;17887;26765;realign_module;118,136;9993;13677;23670;wall_validator_module;53,764;7635;3684;11319;collision_validator_module;153,752;7577;14637;22214;realign_module;114,102;8327;8983;17310;json_converter;113,925;9894;9313;19207
output_classroom_easy_withValidator_o3_2025-05-17_16-18-24;58,10811;67,56757;79,41177;97,50702;98,46764;74;;1681,318;master_planner;5,550;1157;313;1470;game_objects_size_module;55,069;617;6609;7226;relation_module;52,537;1467;6541;8008;object_placement_module;255,412;18341;14553;32894;wall_validator_module;71,826;10185;8240;18425;collision_validator_module;198,607;10127;14124;24251;realign_module;224,139;10756;22519;33275;wall_validator_module;73,547;9843;6320;16163;collision_validator_module;246,881;9785;23882;33667;realign_module;215,719;10747;20614;31361;json_converter;162,645;12203;13706;25909
output_classroom_easy_withValidator_o3_2025-05-17_16-18-43;63,15789;78,94736;92,30769;97,37752;96,55826;57;;1700,649;master_planner;6,150;1157;356;1513;game_objects_size_module;64,325;856;7106;7962;relation_module;94,591;1751;12152;13903;object_placement_module;164,343;20159;11685;31844;wall_validator_module;48,566;9274;2367;11641;collision_validator_module;169,323;9216;15809;25025;realign_module;265,868;10190;21675;31865;wall_validator_module;41,913;8209;3313;11522;collision_validator_module;168,563;8151;16916;25067;realign_module;171,789;8790;16634;25424;json_converter;141,860;10442;12199;22641
output_classroom_easy_withValidator_o3_2025-05-17_16-18-45;62,5;7,142857;8;81,9448;99,4938;56;;1702,812;master_planner;6,912;1157;400;1557;game_objects_size_module;61,407;793;7303;8096;relation_module;101,839;1669;11870;13539;object_placement_module;286,022;19856;13219;33075;wall_validator_module;64,901;8651;6518;15169;collision_validator_module;187,037;8593;20377;28970;realign_module;158,493;12341;15322;27663;wall_validator_module;100,935;6061;8139;14200;collision_validator_module;85,182;6003;9349;15352;realign_module;155,922;7427;17092;24519;json_converter;132,204;10048;11334;21382
output_classroom_easy_withValidator_o3_2025-05-17_16-19-39;66,66666;33,33333;30,15873;95,58653;92,352;69;;1756,643;master_planner;5,800;1157;323;1480;game_objects_size_module;52,343;595;6380;6975;relation_module;124,121;1480;12775;14255;object_placement_module;172,469;18699;14001;32700;wall_validator_module;58,990;10603;5360;15963;collision_validator_module;136,639;10545;14512;25057;realign_module;107,405;11285;10912;22197;wall_validator_module;18,289;8998;1266;10264;collision_validator_module;171,064;8940;17709;26649;realign_module;216,961;9091;21758;30849;json_converter;136,788;10411;12261;22672
output_classroom_easy_withValidator_o3_2025-05-17_16-19-47;54,76191;2,380952;36,70886;95,84361;98,21892;84;;1766,276;master_planner;5,861;1157;312;1469;game_objects_size_module;35,201;443;4618;5061;relation_module;89,468;1582;11664;13246;object_placement_module;224,152;18448;19177;37625;wall_validator_module;71,261;11410;7462;18872;collision_validator_module;101,548;11352;10930;22282;realign_module;273,334;12045;28403;40448;wall_validator_module;27,293;11310;2421;13731;collision_validator_module;96,086;11252;11061;22313;realign_module;590,618;11692;28122;39814;json_converter;155,571;13822;15724;29546
output_classroom_easy_withValidator_o4-mini_2025-05-17_16-40-45;21,21212;33,33333;60,71429;97,68629;99,05006;33;;1088,860;master_planner;5,606;1157;331;1488;game_objects_size_module;74,337;1052;6892;7944;relation_module;116,885;1735;13397;15132;object_placement_module;191,377;18684;19328;38012;wall_validator_module;73,998;9179;8559;17738;collision_validator_module;176,559;9121;16800;25921;realign_module;107,560;10220;10431;20651;wall_validator_module;12,206;2955;1346;4301;collision_validator_module;112,368;2897;10181;13078;realign_module;44,392;3497;4186;7683;json_converter;74,198;5137;7519;12656
output_classroom_easy_withValidator_o4-mini_2025-05-17_16-41-50;61,66667;81,66666;92,59259;96,65443;98,09869;60;;1153,601;master_planner;5,051;1157;302;1459;game_objects_size_module;41,916;606;4057;4663;relation_module;106,677;1576;11176;12752;object_placement_module;162,642;18869;15441;34310;wall_validator_module;30,119;9150;2614;11764;collision_validator_module;140,119;9092;14790;23882;realign_module;150,135;9677;17301;26978;wall_validator_module;22,749;8198;2551;10749;collision_validator_module;176,707;8140;14303;22443;realign_module;93,835;8160;8021;16181;json_converter;108,921;10479;10538;21017
output_classroom_easy_withValidator_o4-mini_2025-05-17_16-46-47;61,66667;81,66666;92,59259;96,65443;98,09869;60;;1449,523;master_planner;7,546;1157;306;1463;game_objects_size_module;65,223;951;5431;6382;relation_module;121,618;1551;12290;13841;object_placement_module;183,072;10729;18461;29190;wall_validator_module;122,450;10530;11448;21978;collision_validator_module;146,893;10472;15322;25794;realign_module;264,640;11678;23801;35479;wall_validator_module;47,539;9326;2357;11683;collision_validator_module;141,677;9268;13617;22885;realign_module;122,858;9955;11937;21892;json_converter;125,445;11583;10279;21862
output_classroom_easy_withValidator_o4-mini_2025-05-17_16-47-05;55,88235;64,70588;90,32258;96,98907;98,64204;68;;1467,916;master_planner;5,279;1157;324;1481;game_objects_size_module;59,326;579;5758;6337;relation_module;64,824;1358;8503;9861;object_placement_module;181,387;18634;18057;36691;wall_validator_module;83,382;10188;7331;17519;collision_validator_module;86,999;10130;10092;20222;realign_module;212,619;10726;21176;31902;wall_validator_module;80,647;8511;8948;17459;collision_validator_module;224,252;8453;15868;24321;realign_module;187,459;9206;17458;26664;json_converter;177,804;10786;12071;22857
output_classroom_easy_withValidator_o4-mini_2025-05-17_16-47-50;63,63636;77,27273;96,66666;98,95546;99,26765;66;;1514,278;master_planner;7,023;1157;306;1463;game_objects_size_module;115,070;627;11073;11700;relation_module;129,961;1323;12144;13467;object_placement_module;162,584;18785;14076;32861;wall_validator_module;42,680;9131;5046;14177;collision_validator_module;118,482;9073;12075;21148;realign_module;247,242;11344;24858;36202;wall_validator_module;64,757;9102;3828;12930;collision_validator_module;179,479;9044;17434;26478;realign_module;159,325;9680;13910;23590;json_converter;183,021;11763;12147;23910
output_classroom_easy_withValidator_o4-mini_2025-05-17_16-48-12;11,9403;14,92537;25,80645;91,82321;92,25762;67;;1536,568;master_planner;7,662;1157;351;1508;game_objects_size_module;99,855;540;9486;10026;relation_module;158,382;1631;14390;16021;object_placement_module;176,053;18752;17081;35833;wall_validator_module;32,307;6831;2811;9642;collision_validator_module;92,310;6773;10023;16796;realign_module;132,407;7423;12821;20244;wall_validator_module;59,684;6071;4726;10797;collision_validator_module;184,426;6013;18112;24125;realign_module;208,395;6979;20630;27609;json_converter;155,908;11361;14781;26142
output_classroom_easy_withValidator_o4-mini_2025-05-17_16-48-18;18,96552;18,96552;90,38461;95,14017;99,06585;58;;1540,843;master_planner;7,386;1157;325;1482;game_objects_size_module;55,484;1011;6448;7459;relation_module;55,110;2015;4832;6847;object_placement_module;178,471;18673;17532;36205;wall_validator_module;43,621;8936;3393;12329;collision_validator_module;149,277;8878;16055;24933;realign_module;165,148;9642;16290;25932;wall_validator_module;43,850;8041;3708;11749;collision_validator_module;230,718;7983;23868;31851;realign_module;170,472;8742;17774;26516;json_converter;96,486;10527;10744;21271
output_classroom_easy_withValidator_o4-mini_2025-05-17_16-48-21;68;66,66666;84,05797;97,26018;98,06931;75;;1543,687;master_planner;4,438;1157;273;1430;game_objects_size_module;114,447;900;9940;10840;relation_module;95,040;1962;8243;10205;object_placement_module;141,154;18185;11336;29521;wall_validator_module;42,837;3837;5294;9131;collision_validator_module;119,368;3779;12501;16280;realign_module;210,502;4594;19667;24261;wall_validator_module;125,384;10213;9267;19480;collision_validator_module;155,127;10155;14004;24159;realign_module;197,515;10811;17846;28657;json_converter;128,293;10353;12831;23184
output_classroom_easy_withValidator_o4-mini_2025-05-17_16-48-33;0;50,81967;58,18182;97,1909;96,44405;61;;1556,021;master_planner;8,249;1157;365;1522;game_objects_size_module;63,164;900;7371;8271;relation_module;112,614;1554;11283;12837;object_placement_module;117,380;19846;9716;29562;wall_validator_module;87,931;6040;7984;14024;collision_validator_module;204,824;5982;17386;23368;realign_module;170,252;7346;17070;24416;wall_validator_module;70,995;8286;4668;12954;collision_validator_module;208,461;8228;20312;28540;realign_module;193,426;11224;17134;28358;json_converter;129,554;10567;13859;24426
output_classroom_easy_withValidator_o4-mini_2025-05-17_16-48-48;68,33334;81,66666;92,59259;98,1867;98,6553;60;;1572,995;master_planner;7,716;1157;337;1494;game_objects_size_module;98,338;1008;8608;9616;relation_module;69,083;1842;8093;9935;object_placement_module;137,507;19255;13577;32832;wall_validator_module;57,041;9114;4661;13775;collision_validator_module;122,520;9056;11308;20364;realign_module;216,919;9422;16711;26133;wall_validator_module;31,256;8283;2675;10958;collision_validator_module;208,435;8225;17037;25262;realign_module;86,656;8585;8654;17239;json_converter;96,729;10571;10533;21104
output_classroom_easy_withValidator_o4-mini_2025-05-17_16-49-03;73,33334;68,33334;90,74074;97,4791;97,37704;60;;1587,445;master_planner;5,921;1157;368;1525;game_objects_size_module;66,486;963;6855;7818;relation_module;101,188;1819;10455;12274;object_placement_module;186,119;19383;17672;37055;wall_validator_module;29,896;8423;3440;11863;collision_validator_module;88,788;8365;9658;18023;realign_module;166,485;9859;16460;26319;wall_validator_module;52,270;7615;3757;11372;collision_validator_module;446,989;7557;10858;18415;realign_module;143,233;8997;13900;22897;json_converter;112,176;9896;10596;20492
output_classroom_easy_withValidator_o4-mini_2025-05-17_16-49-26;63,7931;96,55173;96,15385;99,86497;98,85057;58;;1608,424;master_planner;4,952;1157;309;1466;game_objects_size_module;133,566;704;12440;13144;relation_module;130,827;1394;8470;9864;object_placement_module;214,358;19437;25452;44889;wall_validator_module;76,837;8835;7285;16120;collision_validator_module;186,344;8777;17643;26420;realign_module;129,453;10257;12268;22525;wall_validator_module;29,326;7908;2356;10264;collision_validator_module;196,596;7850;18471;26321;realign_module;172,572;8787;16940;25727;json_converter;128,141;10189;12651;22840
